step,episode,reward,learning_reward,cost,length
45303,246,1.3208346101974635,1.3208346101974635,0.0,99
45392,247,2.9178176010867416,2.8878176010867413,1.0,89
45481,248,1.6562638427875933,1.6262638427875933,1.0,89
45598,249,1.8552818026924052,1.8552818026924052,0.0,117
45885,250,3.9632138501799408,3.9332138501799405,1.0,287
45999,251,3.6202409051858524,3.050240905185852,19.0,114
46068,252,2.4163977615795087,2.4163977615795087,0.0,69
46121,253,2.133467446530312,2.133467446530312,0.0,53
46259,254,2.501621342113242,2.501621342113242,0.0,138
46371,255,1.981721230418346,0.6617212304183463,44.0,112
46457,256,2.9205500186516726,2.4705500186516733,15.0,86
46606,257,3.535307420049965,3.325307420049965,7.0,149
47606,258,-0.1259233111627056,-0.1259233111627056,0.0,1000
47733,259,2.08239342514676,1.7523934251467599,11.0,127
47814,260,2.665797905609094,2.575797905609094,3.0,81
47878,261,2.398741533419037,2.398741533419037,0.0,64
48008,262,3.3307044135902917,3.3007044135902914,1.0,130
49008,263,0.7662421963533834,-1.183757803646622,65.0,1000
49157,264,2.8017767035794794,2.2017767035794784,20.0,149
49221,265,2.464187620916166,2.284187620916166,6.0,64
49347,266,3.1393195599390644,2.2693195599390634,29.0,126
49423,267,2.763309398885739,2.403309398885739,12.0,76
49491,268,2.627473072188857,2.5074730721888567,4.0,68
49574,269,1.3461265317959215,1.3461265317959215,0.0,83
49673,270,1.6406384166156232,1.610638416615623,1.0,99
49735,271,1.8321215336853849,1.8321215336853849,0.0,62
49795,272,2.32848767967683,1.9384876796768293,13.0,60
49889,273,1.325023954264951,1.0550239542649509,9.0,94
50001,274,4.004720190999317,3.674720190999317,11.0,112
50445,275,2.0751355697614944,1.1451355697614947,31.0,444
50587,276,2.5898652601036556,1.9598652601036561,21.0,142
50782,277,3.144710332120808,2.7547103321208084,13.0,195
50886,278,2.493687225041754,2.013687225041754,16.0,104
50950,279,2.156093488696354,1.7960934886963535,12.0,64
50992,280,1.7582318783958575,1.5482318783958577,7.0,42
51119,281,1.8066452070281602,1.7466452070281602,2.0,127
51253,282,4.281515594976611,4.101515594976611,6.0,134
51292,283,1.716539646864423,1.716539646864423,0.0,39
51398,284,1.3988045949812222,1.3988045949812222,0.0,106
51442,285,1.55505458317921,1.55505458317921,0.0,44
51518,286,2.591242800803843,2.2312428008038427,12.0,76
51653,287,2.428838370632218,2.428838370632218,0.0,135
51759,288,1.5874475600347233,1.5874475600347233,0.0,106
51801,289,1.7376650482452811,1.7376650482452811,0.0,42
51877,290,2.724194479421066,2.724194479421066,0.0,76
52010,291,3.1291807655076282,2.499180765507629,21.0,133
52273,292,2.7949787360038134,2.494978736003813,10.0,263
52380,293,1.7635950776046831,1.253595077604683,17.0,107
52589,294,2.7181384584061616,1.0681384584061602,55.0,209
52837,295,2.4968006874117368,2.3768006874117367,4.0,248
52879,296,1.3312495280769885,1.3312495280769885,0.0,42
52946,297,2.603774074837599,2.4537740748375985,5.0,67
53555,298,3.1929155014452295,2.442915501445228,25.0,609
53652,299,1.3344344284267893,0.4644344284267885,29.0,97
53785,300,3.691584099014173,3.4215840990141726,9.0,133
53867,301,2.7370680037864257,2.647068003786426,3.0,82
54867,302,-2.188379484741929,-3.778379484741928,53.0,1000
54976,303,3.2108415126236416,2.790841512623641,14.0,109
55116,304,2.0814943205886323,1.6014943205886323,16.0,140
55184,305,2.4794386224303153,2.4794386224303153,0.0,68
55338,306,2.931898708932045,2.7818987089320446,5.0,154
55499,307,2.161309525652612,2.161309525652612,0.0,161
56499,308,-0.11041616433058987,-0.11041616433058987,0.0,1000
56643,309,2.1373604398311397,1.9273604398311392,7.0,144
56715,310,2.000380128849391,2.000380128849391,0.0,72
56835,311,1.9860052154498966,1.9260052154498966,2.0,120
57187,312,2.987403863695712,-2.7725961363042817,192.0,352
57934,313,2.9114126814044416,2.9114126814044416,0.0,747
58045,314,1.7555942957091895,1.6655942957091896,3.0,111
58177,315,2.3449345897342284,2.3449345897342284,0.0,132
58219,316,1.8415540506200783,1.3915540506200785,15.0,42
58280,317,2.343248735448312,2.343248735448312,0.0,61
58345,318,1.9023246385932582,1.9023246385932582,0.0,65
58383,319,1.6954824297186084,1.6654824297186084,1.0,38
58461,320,2.182806261952236,2.182806261952236,0.0,78
58576,321,3.496895645486402,2.6568956454864026,28.0,115
58636,322,2.4121884076534936,2.382188407653494,1.0,60
58679,323,1.4236487873373926,1.4236487873373926,0.0,43
58785,324,2.383375396522517,2.383375396522517,0.0,106
58821,325,1.6197757015480423,1.6197757015480423,0.0,36
59821,326,-0.23446110046035606,-0.23446110046035606,0.0,1000
59935,327,3.5368883488834983,3.506888348883498,1.0,114
60026,328,3.0480973962592772,3.0480973962592772,0.0,91
60077,329,2.060739654379568,2.060739654379568,0.0,51
60181,330,1.6273716058182766,1.6273716058182766,0.0,104
60291,331,1.9218313025777018,1.9218313025777018,0.0,110
60355,332,2.4764400117339385,2.0564400117339376,14.0,64
60420,333,2.4555783312873394,2.4555783312873394,0.0,65
60544,334,2.161526307254112,1.8915263072541122,9.0,124
61158,335,2.886361440156376,-6.56363855984361,315.0,614
62158,336,-1.1878682042509552,-1.1878682042509552,0.0,1000
62206,337,1.630699322370579,1.630699322370579,0.0,48
62833,338,3.3120839849149046,3.1020839849149047,7.0,627
62901,339,2.5602902801877825,2.5602902801877825,0.0,68
62966,340,2.574536472777515,2.574536472777515,0.0,65
63085,341,3.9498458672550854,3.589845867255084,12.0,119
63133,342,1.950177952256828,1.950177952256828,0.0,48
63225,343,2.35696213825487,2.1169621382548707,8.0,92
63281,344,2.3307092322532865,2.3307092322532865,0.0,56
63400,345,1.8789366392220122,1.8789366392220122,0.0,119
63533,346,2.2671636066229417,1.2471636066229417,34.0,133
63588,347,1.6427029221430316,1.6427029221430316,0.0,55
63716,348,2.4483715608690533,1.9983715608690542,15.0,128
63775,349,2.2821312071798587,2.2821312071798587,0.0,59
63861,350,2.133069003027056,2.073069003027056,2.0,86
64861,351,-0.242434590852306,-0.242434590852306,0.0,1000
64960,352,2.528164403725371,2.4381644037253714,3.0,99
65056,353,1.57118693615808,1.2411869361580798,11.0,96
66056,354,0.6280069713967165,-16.051993028603295,556.0,1000
66108,355,2.178553737463092,2.0885537374630916,3.0,52
66177,356,2.5295602026710196,2.2295602026710197,10.0,69
66284,357,1.5992811119612522,1.5992811119612522,0.0,107
66368,358,2.4147873536273883,2.4147873536273883,0.0,84
66499,359,2.0841667623114386,2.0841667623114386,0.0,131
66601,360,2.830765650212863,2.050765650212863,26.0,102
66642,361,1.4041476135272117,1.4041476135272117,0.0,41
66716,362,2.8525635608580817,2.5525635608580814,10.0,74
66913,363,2.767240010711907,2.347240010711908,14.0,197
67178,364,2.823176798337486,2.253176798337485,19.0,265
67256,365,2.763160016012983,2.313160016012983,15.0,78
67331,366,2.491558368430812,2.431558368430812,2.0,75
67354,367,1.2501302258037146,1.2501302258037146,0.0,23
67402,368,1.303715451955522,1.303715451955522,0.0,48
67475,369,1.3936583057363792,1.3936583057363792,0.0,73
